latitude,longitude,radius_km,enhanced_mpi,enhanced_poverty_level,multidimensional_poverty_index,poverty_level_classification,electrification_deficit,economic_isolation_index,extreme_poverty_ratio,poor_roof_materials_index,informal_settlement_index,water_access_deficit,severe_water_shortage,vegetation_deficit,environmental_degradation,air_pollution_burden,population_density_per_km2,overcrowding_index,economic_deprivation_score,living_standards_score,environmental_deprivation_score,hospital_access_deficit,distance_to_nearest_major_city_km,airport_access_deficit,distance_to_nearest_airport_km,market_access_deficit,market_access_score,economic_opportunities_index,surrounding_population_10km,road_quality_deficit,road_infrastructure_score,road_surface_quality,paved_road_index,unpaved_road_index,access_deprivation_score,connectivity_isolation_score,healthcare_isolation_index,transportation_isolation,location_name
28.6139,77.209,5,0.12898487534226383,Low,0.15312695522823339,Low,0.0,0.0,0.0,0.0,0.0,0.031841881554344253,1.0,0.0,0,1.0,9505.368459266603,0.9505368459266603,0.0,0.25796047038858605,0.2,1.1374311892306778e-05,0.0005687155946153389,0.12224746097092526,12.224746097092526,0.0,1.0,1.0,12856586.1770117,0.23863144234503209,0.7613685576549679,Good,2.203379758848843,0.5257956898879483,0.07217919295675918,0.0366787880160345,1.1374311892306778e-05,0.12224746097092526,Delhi Central
19.076,72.8777,4,0.13729830581681673,Low,0.1681347693940576,Low,0.0,0.0,0.0,0.13340591808687485,0.0,0.013205286583052464,1.0,0.05430730400773123,0,1.0,38965.895476210215,1.0,0.0,0.2866528011674818,0.21629219120231938,9.088198632502677e-06,0.00045440993162513383,0.018067877909909887,1.8067877909909886,0.0,1.0,1.0,9581214.051470768,0.349240418429603,0.650759581570397,Moderate,1.7595009357274984,0.6144888430207496,0.07346438572749234,0.005423998652425967,9.088198632502677e-06,0.018067877909909887,Mumbai Business District
12.9716,77.5946,4,0.14136703339576787,Low,0.15687738671282442,Low,0.0,0.0,0.0,0.06645178947709285,0.0,0.010849867648051521,1.0,0.0,0,1.0,34895.12639562899,1.0,0.0,0.2693254142812861,0.2,9.083010973825138e-06,0.00045415054869125693,0.2796688446276392,27.96688446276392,0.0,1.0,1.0,7979668.437471474,0.2418259030618406,0.7581740969381594,Good,2.249668450373073,0.5440281046011999,0.10430167444118811,0.08390428659268129,9.083010973825138e-06,0.2796688446276392,Bangalore IT Hub
13.0827,80.2707,4,0.15177507451599523,Low,0.17762101392317267,Low,0.0,0.0,0.0,0.21697214907325058,0.0,0.012700528648347932,1.0,0.08012762756020375,0,1.0,20760.18238565736,1.0,0.0,0.3074181694303996,0.22403828826806113,9.083092567713422e-06,0.0004541546283856711,0.15030455901609246,15.030455901609246,0.0,1.0,1.0,5445059.423405588,0.3297304829182081,0.6702695170817918,Moderate,1.969349182035559,0.6493544568271631,0.09600973331463045,0.045095000941854826,9.083092567713422e-06,0.15030455901609246,Chennai Industrial
22.5726,88.3639,4,0.1566621216922592,Low,0.17978419850693497,Low,0.0,0.0,0.0,0.2295354526740475,0.0,0.004986143462898162,1.0,0.09741340025134268,0,1.0,22714.72954537136,1.0,0.0,0.3086303990342364,0.22922402007540282,9.091926746551295e-06,0.0004545963373275648,0.12414228490924874,12.414228490924874,0.0,1.0,1.0,11797318.6709538,0.49164023355069997,0.5083597664493,Moderate,1.72173685806188,0.846475111010391,0.12315923127001371,0.03724632224347324,9.091926746551295e-06,0.12414228490924874,Kolkata Commercial
17.385,78.4867,4,0.15513290928814655,Low,0.17757301544104592,Low,0.0,0.0,0.0,0.192060900380163,0.0,0.016531376992269472,1.0,0.09670737801784529,0,1.0,17036.605996563394,1.0,0.0,0.3021480693431081,0.2290122134053536,9.086593389663189e-06,0.00045432966948315945,0.17145414554984992,17.145414554984992,0.0,1.0,1.0,5764321.344393104,0.40182725025339955,0.5981727497466005,Moderate,1.7240032067952196,0.692751468014566,0.1146590051386668,0.05143987830231084,9.086593389663189e-06,0.17145414554984992,Hyderabad Tech City
18.5204,73.8567,4,0.26618559542777165,Low,0.15265092894052984,Low,0.0,0.0,0.0,0.011497407984293773,0.0,0.01457445796152215,1.0,0.0,0,1.0,28016.884214667993,1.0,0.0,0.256517966486454,0.2,1.0,120.1374517491504,1.0,121.7672651481682,0.0,1.0,1.0,5298809.353598121,0.23520346020527141,0.7647965397947286,Good,2.1813333332891167,0.5130571478506988,0.5470406920410543,0.7,1.0,1.0,Pune Metropolitan
23.0225,72.5714,4,0.20320569277899175,Low,0.2492178316675546,Low,0.0,0.0,0.0,0.22239548463106307,0.0,0.008980152598672696,1.0,0.11401315290295463,0,1.0,32441.589654937656,1.0,0.0,0.30784390930743394,0.4342039458708864,9.09243469218012e-06,0.00045462173460900595,0.08988250710731087,8.988250710731087,0.0,1.0,1.0,6291636.472879084,0.4100001900341403,0.5899998099658597,Moderate,1.6391070091043591,0.6720341852190785,0.0999792671586979,0.026968389106070134,9.09243469218012e-06,0.08988250710731087,Ahmedabad Urban
26.9124,75.7873,4,0.07997499733280791,Low,0.08750908376974764,Low,0.0,0.0,0.0,0.12426750187654978,0.0,0.053381288870480804,0.0,0.047579005226643156,0,1.0,14356.57375641602,1.0,0.0,0.044412197686757644,0.21427370156799297,9.097209405292649e-06,0.0004548604702646325,0.10057588012005386,10.057588012005386,0.0,1.0,1.0,3057063.1760951323,0.30893988163725244,0.6910601183627476,Moderate,1.8775617720384008,0.5800537116201735,0.08190588151428285,0.030176402919778272,9.097209405292649e-06,0.10057588012005386,Jaipur
26.8467,80.9462,4,0.26779263925730645,Low,0.15398218713714729,Low,0.0,0.0,0.0,0.031240802445117066,0.0,0.010967526490001706,1.0,0.0,0,1.0,9894.468630692589,0.9894468630692589,0.0,0.2605520822337797,0.2,1.0,417.27521601729774,1.0,423.76831642905205,0.0,1.0,1.0,3148645.637263343,0.2551539566287173,0.7448460433712827,Good,2.098697955024,0.5354910869929714,0.5510307913257435,0.7,1.0,1.0,Lucknow
